OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAUDISAT 5A,2018-102A,2026-01-26T15:26:41.072352,15.26326470,.00084727,97.3282,90.9707,276.5019,83.5255,0,U,43831,999,39407,.34047337E-3,.878E-4,0
SAUDISAT 5B,2018-102C,2026-01-26T14:58:39.374112,15.26651063,.00092151,97.3375,93.7698,279.3043,80.7154,0,U,43833,999,39418,.31531977E-3,.8207E-4,0
SHIELDS 1,2018-104B,2026-01-26T06:49:19.637184,16.04119156,.0001876,84.9974,230.7798,11.2237,348.9090,0,U,43850,999,39774,.63236E-3,.406587E-2,.72961E-4
GSAT-7A,2018-105A,2026-01-26T15:07:36.021792,1.00269389,.00023963,0.0129,109.7561,184.3113,121.5338,0,U,43864,999,2602,0,.39E-6,0
COSMOS 2533,2018-107A,2026-01-22T16:27:21.792096,1.00272201,.00006115,0.0259,108.8217,214.4584,115.5695,0,U,43867,999,2597,0,-.24E-6,0
HONGYUN 1,2018-108A,2026-01-26T15:24:16.463808,13.50765428,.00116965,99.7812,50.9596,14.1931,345.9530,0,U,43871,999,34997,.62396049E-4,-.4E-7,0
NAVSTAR 77 (USA 289),2018-109A,2026-01-26T15:41:29.300640,2.00554922,.0037818,55.5914,97.7723,196.9972,335.1542,0,U,43873,999,5223,0,-.25E-6,0
TJS-3,2018-110A,2026-01-26T18:04:47.755200,1.00271475,.000198,2.1792,82.2723,218.6583,155.2673,0,U,43874,999,2600,0,.66E-6,0
KANOPUS-V 5,2018-111A,2026-01-26T14:22:44.131296,15.23550652,.00018258,97.3674,294.9037,89.3062,270.8385,0,U,43876,999,39323,.20747597E-3,.4889E-4,0
KANOPUS-V 6,2018-111B,2026-01-26T14:48:00.992160,15.36429086,.00031039,97.3754,302.7647,83.6976,276.4621,0,U,43877,999,39374,.68309524E-3,.24244E-3,0
ISAT,2018-111D,2026-01-26T07:58:26.573664,15.46030593,.00091859,97.5903,312.9514,92.8260,267.4040,0,U,43879,999,38912,.12692828E-2,.62391E-3,0
